id,firstname,lastname,surname,series,number,email,is_active
be9b1731-96dc-418b-b56d-1519df1167d6,Иванов,Алексей,Андреевич,2004,123321,xherman@gmail.com,true
44680251-9ac4-4dbb-ade5-6121c84440d3,Смирнов,Иван,Юрьевич,2005,345656,gjohnston@rogahn.com,true
6c38afde-ee92-4647-a89e-fae41fa37240,Петров,Петр,Николаевич,2014,765345,rstiedemann@miller.com,true
a1ee12b1-47c6-42f8-baae-231a19496982,Сидоров,Николай,Алексеевич,2017,432755,mcglynn.blake@boyer.com,true
6dd44ce3-3c9b-4256-b485-219c49304956,Кириедов,Сергей,Игнатьевич,2015,745975,kristy91@zemlak.com,true
442ccdee-d2a4-40a7-8a40-85681f635f5b,Водовозов,Евгений,Петрович,2015,346530,iabshire@yahoo.com,true
77ed1efd-68f0-4986-9833-5a4b2537959e,Информинов,Юрий,Федорович,2011,958473,sschmitt@wolf.com,true
75084712-d02e-4e47-96a7-c6f55c40fa03,Безбородов,Александр,Степанович,2009,449586,leland.osinski@windler.com,true
d10bfa82-c44e-41dd-8945-c58275abe4cd,Силуянов,Андрей,Никифорович,2018,637485,smith.linnea@boyle.net,true
69212828-3c0b-41a9-a350-7c7d47bf7c15,Именитов,Виктор,Тимофеевич,2011,995848,karson.lebsack@kerluke.biz,true
